week,2014,2015,2016,2017,2018,2019,2020,2021,2022
01月第1週,171,531,239,490,229,126,376,492,722
01月第2週,226,397,292,342,253,155,269,468,502
01月第3週,298,281,213,170,268,140,225,540,300
01月第4週,334,275,180,148,458,222,201,363,453
01月第5週,192,186,234,101,277,245,430,427,519
02月第1週,166,274,127,256,180,177,361,1441,222
02月第2週,300,142,72,503,131,269,423,222,769
02月第3週,981,75,301,781,663,1267,542,498,3022
02月第4週,905,190,889,812,1680,978,1340,3504,3299
03月第1週,714,317,730,746,1526,1079,2509,2568,3141
03月第2週,1221,361,804,685,1155,875,2264,2630,1576
03月第3週,960,273,349,683,898,437,1541,1170,898
03月第4週,534,286,347,412,1054,426,1677,645,645
04月第1週,364,227,420,251,291,302,456,464,975
04月第2週,315,326,303,348,357,408,577,646,630
04月第3週,386,272,362,263,826,356,890,1355,584
04月第4週,304,313,202,436,311,343,507,794,491
05月第1週,157,361,239,343,404,160,927,699,916
05月第2週,215,201,293,218,432,122,843,857,498
05月第3週,159,196,242,267,303,165,695,769,773
05月第4週,4,224,384,299,474,178,792,6745,506
05月第5週,193,263,212,251,452,147,1315,9318,786
06月第1週,424,269,234,249,688,103,1411,7199,710
06月第2週,270,354,200,265,896,311,1126,3608,806
06月第3週,279,179,346,530,991,367,1740,2313,2889
06月第4週,246,182,234,258,880,209,919,6510,1162
07月第1週,422,223,223,324,463,195,999,2813,1250
07月第2週,197,291,176,211,243,139,587,1007,510
07月第3週,232,262,355,239,233,171,497,563,394
07月第4週,220,319,306,174,237,155,569,3136,436
07月第5週,234,328,178,205,275,127,577,1705,314
08月第1週,360,234,142,160,162,118,547,4482,384
08月第2週,338,240,157,183,135,250,708,2969,491
08月第3週,183,220,117,178,170,256,930,1640,6249
08月第4週,240,318,163,204,278,167,695,2378,15394
08月第5週,258,245,311,313,419,350,1934,2067,7045
09月第1週,503,469,737,1326,1884,1361,2409,3617,6291
09月第2週,591,1587,988,1868,2040,1166,4566,7504,10356
09月第3週,899,1239,1527,1621,1309,1106,2597,3551,10247
09月第4週,735,683,1040,1830,878,1479,1318,9877,5144
10月第1週,527,854,1142,755,713,887,1354,5616,1852
10月第2週,487,920,827,882,806,1347,1056,1506,2218
10月第3週,553,612,1145,556,681,1011,1279,1890,752
10月第4週,661,561,805,775,328,908,1181,953,728
11月第1週,876,547,937,1220,387,569,1016,843,1955
11月第2週,681,523,912,643,911,783,622,869,4683
11月第3週,625,697,710,390,627,525,900,556,1313
11月第4週,531,381,647,448,349,611,508,731,1546
12月第1週,414,357,598,390,374,442,498,525,1815
12月第2週,357,526,453,607,599,497,674,640,1577
12月第3週,349,494,310,431,326,634,658,633,628
12月第4週,653,334,316,276,236,481,676,562,1149